Variety	Biomass_S12_WD	Biomass_S13_WD	Biomass_S16_WD	Biomass_W13_WD	Biomass_S12_WW	Biomass_S13_WW	Biomass_S16_WW	Biomass_W13_WW
EZ34	187.3494115	275.3720799	198.8912428	217.5654793	274.6412224	293.3070736	355.6556564	297.3850815
EZ35	195.2503481	215.4647703	199.8204294	192.2724631	267.63989	233.8723418	330.4936807	262.5337365
EZ36	164.860971	218.6426995	195.1280368	143.244856	247.1138494	265.025268	337.2621182	273.3778658
EZ37	205.6676377	233.1164209	197.3457284	220.8007963	219.1460069	229.8228197	299.4919473	282.5218745
EZ38	190.6564203	248.3640851	207.2698624	223.1215062	302.5589546	300.8420938	357.5166891	296.1437657
EZ40	216.8002827	220.9189111	223.4864918	191.2207919	219.2501681	218.6639447	271.088104	254.1641747
EZ42	210.0765461	248.4562567	202.3508962	227.5308985	233.4895944	245.7703398	277.5371133	256.8482667
EZ47	207.6688687	226.421677	245.5531628	217.6593201	286.4114775	335.5499667	417.4203379	414.3791285
EZ48	231.4916692	214.7422829	214.6013694	195.4185976	262.7258344	254.6044698	306.3698138	364.1019916
F04401	118.2473331	171.6895816	151.9470383	152.0127219	182.1244317	266.692692	259.5824685	283.4214368
F04402	174.255607	239.3507008	187.7019067	202.6506532	269.5270954	208.1555494	307.2704876	279.6367456
F04701	180.1043197	209.8715434	196.1728152	170.7341739	238.3805887	293.3328188	302.5109233	247.7679669
F04702	239.0489877	260.9302738	215.096383	224.1560646	244.7635066	261.4188232	353.9730198	308.0292983
F05101	198.8303379	293.0108713	244.1834727	216.9218947	300.8180457	302.3711603	348.9703433	374.2463965
F05404	195.5142121	216.2651109	201.5481068	198.6940218	234.5774231	237.2294086	327.1191266	307.2700516
F1808	201.4091044	237.6848415	193.3849541	212.5290497	264.1951952	273.2992348	308.1016379	364.6246245
F1890	254.9933723	249.9013198	210.4785087	175.0483516	304.4406283	248.7670075	330.5310693	360.7849449
F218	213.0534975	251.4899428	207.4069234	224.2529038	263.9915282	313.9409346	323.1610685	363.2529768
F252	189.335845	238.7629544	207.8338611	206.3383092	250.4937968	330.9217128	343.1415968	312.4347471
F353	212.8375514	246.2474285	214.0806698	206.6766519	291.2753203	313.4513181	376.5323704	296.5366841
F354	157.2084117	235.3139496	177.7339231	212.2532723	212.725847	202.0199002	285.6074089	269.5199082
F546	176.441466	197.6063383	210.026216	161.4108767	262.7542341	291.5215797	322.6899937	234.0374834
F608	168.6623544	244.6745471	216.6303861	180.0395659	256.0169709	236.3091492	381.7071516	294.7685187
F618	208.9441412	261.5051421	216.6279786	231.5252371	285.1075512	279.8892766	304.0418083	268.305651
F7001	177.7609211	216.3834475	211.0005727	165.4323706	248.5152668	255.8431494	331.4828781	318.513478
F7019	247.1109147	309.0460196	218.4319925	271.6903202	359.914427	379.0333829	411.331444	334.2601551
F7025	209.3964503	227.4108473	202.8512651	203.9576126	303.0027825	308.2191377	334.9275653	315.117939
F7028	188.1631737	222.7798525	193.4034008	183.3265554	229.5214831	264.6877364	353.8564322	290.7879224
F7057	230.080352	233.2034899	216.41582	191.5398107	251.5571515	256.9093393	342.515795	306.2271055
F7058	210.7764685	233.1155306	186.9914835	247.3407731	241.8849548	300.0229563	374.0313377	327.2095347
F7081	215.3896222	301.3441589	232.1941481	261.0049863	341.3777766	359.4008338	463.7357914	469.9937874
F7082	198.9171595	244.2327289	224.4779523	217.1248583	261.2040513	289.7305909	340.5777269	381.6832101
F712	180.9771448	191.7069243	213.0939657	202.8476498	228.9385794	246.0614738	339.8120804	339.0158819
F748	198.0302954	235.190986	200.0740893	224.0904827	286.1867301	293.0724918	283.895232	278.8437258
F752	202.6128198	221.435088	203.5949239	211.3195324	253.2964063	185.2481719	308.2357142	312.6079996
F838	195.6662942	270.5899328	241.052725	228.2208671	286.4475177	279.9663777	393.3137595	338.8646286
F874	228.2164673	260.4835958	208.5138078	254.9985697	326.2706314	333.2724172	308.7675808	347.0642348
F888	221.1645387	279.9523721	241.6497604	253.7238963	325.7648403	295.532528	291.1180669	496.6217214
F894	175.7099322	235.9902578	230.555881	226.1586706	243.2896807	248.8680809	280.1735114	283.0519522
F908	173.0204902	224.3282942	186.0637765	191.1060973	311.2458523	247.6784255	315.6288286	287.1384693
F912	220.6918773	226.4589341	209.8544103	256.1409771	261.8239125	290.5460425	385.2260105	366.9090747
F918	206.222198	263.2100727	233.8051842	231.3727338	293.4056223	359.5979759	298.7225637	409.4351585
F922	180.1970409	197.8775518	191.691654	214.1632871	275.6110115	271.5087842	373.0706882	373.2665283
