Variety	Biomass	ENV	Treatment	Season	ENV_Biomass
Lo1288	182.2630125	WD_S12	WD	S12	194.4
Lo1290	193.6848934	WD_S12	WD	S12	194.4
Lo1301	184.705472	WD_S12	WD	S12	194.4
Lo904	188.1044925	WD_S12	WD	S12	194.4
Lp5	191.7354882	WD_S12	WD	S12	194.4
ML606	179.925177	WD_S12	WD	S12	194.4
Mo15W	158.2057162	WD_S12	WD	S12	194.4
Mo17	193.0580978	WD_S12	WD	S12	194.4
MS153	211.4030306	WD_S12	WD	S12	194.4
MS71	213.815012	WD_S12	WD	S12	194.4
N16	146.7717917	WD_S12	WD	S12	194.4
N192	201.1910424	WD_S12	WD	S12	194.4
N22	152.8488766	WD_S12	WD	S12	194.4
N25	172.1464194	WD_S12	WD	S12	194.4
N6	202.2525313	WD_S12	WD	S12	194.4
NC290	167.325821	WD_S12	WD	S12	194.4
NC358	199.635145	WD_S12	WD	S12	194.4
NDB8	134.1627901	WD_S12	WD	S12	194.4
NK764	193.3022688	WD_S12	WD	S12	194.4
NK807	226.7278788	WD_S12	WD	S12	194.4
NQ508	207.7332866	WD_S12	WD	S12	194.4
NS701	207.5436507	WD_S12	WD	S12	194.4
Oh02	212.5924257	WD_S12	WD	S12	194.4
Oh33	235.623785	WD_S12	WD	S12	194.4
Oh40B	213.1174433	WD_S12	WD	S12	194.4
Oh43	277.0832733	WD_S12	WD	S12	194.4
Os426	207.9829456	WD_S12	WD	S12	194.4
P465P	202.5253942	WD_S12	WD	S12	194.4
Pa36	205.4309269	WD_S12	WD	S12	194.4
Pa405	197.0611495	WD_S12	WD	S12	194.4
Pa91	209.5572268	WD_S12	WD	S12	194.4
PB116	177.2227957	WD_S12	WD	S12	194.4
PB98TR	207.7229263	WD_S12	WD	S12	194.4
PH207	122.1147893	WD_S12	WD	S12	194.4
PHB09	198.5524743	WD_S12	WD	S12	194.4
PHG35	181.7446323	WD_S12	WD	S12	194.4
PHG39	238.6352149	WD_S12	WD	S12	194.4
PHG47	193.0105106	WD_S12	WD	S12	194.4
PHG50	164.9377836	WD_S12	WD	S12	194.4
PHG71	207.4435855	WD_S12	WD	S12	194.4
PHG80	174.518723	WD_S12	WD	S12	194.4
PHG84	211.9814636	WD_S12	WD	S12	194.4
PHG86	194.0302061	WD_S12	WD	S12	194.4
PHH93	153.80779	WD_S12	WD	S12	194.4
PHJ40	197.9607622	WD_S12	WD	S12	194.4
PHK29	231.9573104	WD_S12	WD	S12	194.4
PHK76	188.7660007	WD_S12	WD	S12	194.4
PHR36	189.5643091	WD_S12	WD	S12	194.4
PHT77	187.1175118	WD_S12	WD	S12	194.4
PHV63	202.6915842	WD_S12	WD	S12	194.4
PHW65	176.188368	WD_S12	WD	S12	194.4
PHZ51	211.4180239	WD_S12	WD	S12	194.4
SC-Malawi	244.5068652	WD_S12	WD	S12	194.4
SGI061	151.0639896	WD_S12	WD	S12	194.4
UH_2500	218.0673579	WD_S12	WD	S12	194.4
UH_6102	180.1763054	WD_S12	WD	S12	194.4
UH_6179	137.5497206	WD_S12	WD	S12	194.4
UH_P060	188.6126472	WD_S12	WD	S12	194.4
UH_P064	185.8057604	WD_S12	WD	S12	194.4
UH_P074	178.7864883	WD_S12	WD	S12	194.4
UH_P087	174.8741271	WD_S12	WD	S12	194.4
UH_P089	210.7696194	WD_S12	WD	S12	194.4
UH_P104	181.0515329	WD_S12	WD	S12	194.4
UH_P115	187.1605028	WD_S12	WD	S12	194.4
UH_P128	180.011339	WD_S12	WD	S12	194.4
UH_P148	144.7053321	WD_S12	WD	S12	194.4
UH_S018	169.8461662	WD_S12	WD	S12	194.4
UH_S020	187.4630133	WD_S12	WD	S12	194.4
UH_S025	177.7504493	WD_S12	WD	S12	194.4
UH250	224.5273793	WD_S12	WD	S12	194.4
UH304	132.1042409	WD_S12	WD	S12	194.4
Va26	207.6623053	WD_S12	WD	S12	194.4
W117	225.1931047	WD_S12	WD	S12	194.4
W153R	189.2993605	WD_S12	WD	S12	194.4
W182E	174.638371	WD_S12	WD	S12	194.4
W23	194.9745041	WD_S12	WD	S12	194.4
W602S	220.4514407	WD_S12	WD	S12	194.4
W604S	223.1465638	WD_S12	WD	S12	194.4
W64A	206.2005504	WD_S12	WD	S12	194.4
W9	127.8415108	WD_S12	WD	S12	194.4
W95115	171.9097801	WD_S12	WD	S12	194.4
Wf9	206.3984509	WD_S12	WD	S12	194.4
11430	265.6196201	WD_S13	WD	S13	243.5
A3	254.5482994	WD_S13	WD	S13	243.5
A310	303.4584544	WD_S13	WD	S13	243.5
A347	221.2648345	WD_S13	WD	S13	243.5
A374	262.8950884	WD_S13	WD	S13	243.5
A375	231.2558911	WD_S13	WD	S13	243.5
A554	253.2110537	WD_S13	WD	S13	243.5
AS5707	235.0034696	WD_S13	WD	S13	243.5
B100	238.0026379	WD_S13	WD	S13	243.5
B104	243.489831	WD_S13	WD	S13	243.5
B105	259.7891833	WD_S13	WD	S13	243.5
B106	275.4891181	WD_S13	WD	S13	243.5
B107	205.3459527	WD_S13	WD	S13	243.5
B108	263.8836001	WD_S13	WD	S13	243.5
B109	224.5933008	WD_S13	WD	S13	243.5
B110	245.7830017	WD_S13	WD	S13	243.5
B113	245.1282428	WD_S13	WD	S13	243.5
B37	257.615003	WD_S13	WD	S13	243.5
B73	262.9946952	WD_S13	WD	S13	243.5
B84	263.961257	WD_S13	WD	S13	243.5
B89	284.8335124	WD_S13	WD	S13	243.5
B97	274.5300342	WD_S13	WD	S13	243.5
B98	195.8825363	WD_S13	WD	S13	243.5
C103	259.7576529	WD_S13	WD	S13	243.5
CO109	306.4940623	WD_S13	WD	S13	243.5
CR1Ht	295.6752037	WD_S13	WD	S13	243.5
D09	284.5740769	WD_S13	WD	S13	243.5
DE811	229.9609723	WD_S13	WD	S13	243.5
DK4676A	235.8514764	WD_S13	WD	S13	243.5
DK78010	201.2806195	WD_S13	WD	S13	243.5
DK78371A	239.2442878	WD_S13	WD	S13	243.5
DKFAPW	279.3778867	WD_S13	WD	S13	243.5
DKFBHJ	279.8462401	WD_S13	WD	S13	243.5
DKIBO2	269.8237992	WD_S13	WD	S13	243.5
DKMBST	241.0153001	WD_S13	WD	S13	243.5
EA1027	320.4713315	WD_S13	WD	S13	243.5
EA1163	237.5542099	WD_S13	WD	S13	243.5
EA3076	299.4548688	WD_S13	WD	S13	243.5
EC136	253.2720639	WD_S13	WD	S13	243.5
EC140	253.4108501	WD_S13	WD	S13	243.5
EC151	184.4586542	WD_S13	WD	S13	243.5
EC169	223.4258958	WD_S13	WD	S13	243.5
EC175	238.063819	WD_S13	WD	S13	243.5
EC232	259.5148452	WD_S13	WD	S13	243.5
EC242C	275.7172704	WD_S13	WD	S13	243.5
EC334	218.4363321	WD_S13	WD	S13	243.5
EP10	328.8376666	WD_S13	WD	S13	243.5
EP2008-18	283.7597168	WD_S13	WD	S13	243.5
EP2008-22	226.6318182	WD_S13	WD	S13	243.5
EP29	272.0964565	WD_S13	WD	S13	243.5
EP51	283.6472866	WD_S13	WD	S13	243.5
EP52	282.7515314	WD_S13	WD	S13	243.5
EP55	237.8919572	WD_S13	WD	S13	243.5
EP67	262.5626621	WD_S13	WD	S13	243.5
EP72	220.7419181	WD_S13	WD	S13	243.5
EP77	329.5884233	WD_S13	WD	S13	243.5
EZ11A	167.7937415	WD_S13	WD	S13	243.5
EZ18	114.3534233	WD_S13	WD	S13	243.5
EZ31	260.2164145	WD_S13	WD	S13	243.5
EZ34	275.3720799	WD_S13	WD	S13	243.5
EZ35	215.4647703	WD_S13	WD	S13	243.5
EZ36	218.6426995	WD_S13	WD	S13	243.5
EZ37	233.1164209	WD_S13	WD	S13	243.5
EZ38	248.3640851	WD_S13	WD	S13	243.5
EZ40	220.9189111	WD_S13	WD	S13	243.5
EZ42	248.4562567	WD_S13	WD	S13	243.5
EZ47	226.421677	WD_S13	WD	S13	243.5
EZ48	214.7422829	WD_S13	WD	S13	243.5
F04401	171.6895816	WD_S13	WD	S13	243.5
F04402	239.3507008	WD_S13	WD	S13	243.5
F04701	209.8715434	WD_S13	WD	S13	243.5
F04702	260.9302738	WD_S13	WD	S13	243.5
