Variety	Leaf_area	ENV	Treatment	Season	ENV_Leaf_area
Lp5	0.38745278	WD_S13	WD	S13	0.36
ML606	0.434915877	WD_S13	WD	S13	0.36
Mo15W	0.425476257	WD_S13	WD	S13	0.36
Mo17	0.340658912	WD_S13	WD	S13	0.36
MS153	0.383006344	WD_S13	WD	S13	0.36
MS71	0.358138332	WD_S13	WD	S13	0.36
N16	0.287832856	WD_S13	WD	S13	0.36
N192	0.352219837	WD_S13	WD	S13	0.36
N22	0.288752966	WD_S13	WD	S13	0.36
N25	0.349649543	WD_S13	WD	S13	0.36
N6	0.333143276	WD_S13	WD	S13	0.36
NC290	0.314930594	WD_S13	WD	S13	0.36
NC358	0.360394365	WD_S13	WD	S13	0.36
NDB8	0.338727903	WD_S13	WD	S13	0.36
NK764	0.349158972	WD_S13	WD	S13	0.36
NK807	0.386030942	WD_S13	WD	S13	0.36
NQ508	0.364266581	WD_S13	WD	S13	0.36
NS701	0.392597144	WD_S13	WD	S13	0.36
Oh02	0.404672503	WD_S13	WD	S13	0.36
Oh33	0.381458132	WD_S13	WD	S13	0.36
Oh40B	0.39769132	WD_S13	WD	S13	0.36
Oh43	0.421362526	WD_S13	WD	S13	0.36
Os426	0.422514579	WD_S13	WD	S13	0.36
P465P	0.429868667	WD_S13	WD	S13	0.36
Pa36	0.386617549	WD_S13	WD	S13	0.36
Pa405	0.366866247	WD_S13	WD	S13	0.36
Pa91	0.351580153	WD_S13	WD	S13	0.36
PB116	0.33235344	WD_S13	WD	S13	0.36
PB98TR	0.378475413	WD_S13	WD	S13	0.36
PH207	0.325955323	WD_S13	WD	S13	0.36
PHB09	0.365358076	WD_S13	WD	S13	0.36
PHG35	0.335188266	WD_S13	WD	S13	0.36
PHG39	0.415598373	WD_S13	WD	S13	0.36
PHG47	0.34669696	WD_S13	WD	S13	0.36
PHG50	0.3591995	WD_S13	WD	S13	0.36
PHG71	0.391071504	WD_S13	WD	S13	0.36
PHG80	0.370406588	WD_S13	WD	S13	0.36
PHG84	0.374564916	WD_S13	WD	S13	0.36
