Variety	WUE_S12_WD	WUE_S13_WD	WUE_S16_WD	WUE_W13_WD	WUE_S12_WW	WUE_S13_WW	WUE_S16_WW	WUE_W13_WW
EC334	46.09260084	43.64376156	62.87765555	67.93394505	58.03964807	44.32637543	68.14459636	61.26195849
EP10	55.32915631	55.03275376	75.704262	89.48331377	70.00664043	55.19243522	84.03916543	101.7807808
EP2008-18	57.48284988	53.54466134	69.59758544	79.40113589	58.8471339	56.48285153	93.10486024	84.73660884
EP2008-22	50.93590021	54.12706097	72.15018772	82.69558525	63.01737732	48.71601166	83.29327351	85.3854061
EP29	55.6351214	53.21441268	70.1259841	75.91007346	68.10846195	48.49667415	76.64644008	74.67790827
EP51	56.92523485	59.05545716	69.77436724	85.88452071	74.01490373	56.19071944	90.67299723	86.19400521
EP52	53.80866533	51.79456816	71.49099925	85.86824204	69.1527241	53.17405607	88.28754192	75.84419909
EP55	57.40368721	51.30472818	71.00761485	72.94222574	70.82690303	51.84030755	77.38568353	78.55364714
EP67	64.6023578	58.28881565	74.55419379	91.08423393	66.95450259	57.98566822	86.97865513	95.99332175
EP72	64.55345897	60.06342957	81.4436543	84.01704739	65.39946966	56.40983772	91.77535203	99.02604405
EP77	57.18538011	51.54697956	72.41724334	90.2422396	68.92633406	53.14324439	89.32087057	99.31969962
EZ11A	54.94022123	59.30185396	84.22290074	98.79179127	70.97511171	66.80318705	84.8087586	95.32547458
EZ18	57.44095192	71.22001148	63.69674163	80.63815778	66.72235204	53.51266647	89.16788873	86.24802892
EZ31	48.28707366	44.90520273	66.47384747	70.2905845	61.2797312	54.73587506	72.10883246	82.95928166
EZ34	63.8411131	52.00444348	62.71427823	85.60231279	63.52233221	51.39323118	79.12164838	88.29805345
EZ35	55.31000225	53.55479431	72.04767955	80.04659542	69.6758966	51.47292395	81.93060777	84.81288588
EZ36	63.75156794	45.81079436	64.25293423	75.01320678	69.85434821	51.78488158	82.42887506	74.13582831
