Variety	Leaf_area_S12_WD	Leaf_area_S13_WD	Leaf_area_S16_WD	Leaf_area_W13_WD	Leaf_area_S12_WW	Leaf_area_S13_WW	Leaf_area_S16_WW	Leaf_area_W13_WW
Oh33	0.352931058	0.381458132	0.278624057	0.326203158	0.342508104	0.438917293	0.469373697	0.393582628
Oh40B	0.300138967	0.39769132	0.290932968	0.310974448	0.383846263	0.416318851	0.434464859	0.435858149
Oh43	0.352903942	0.421362526	0.315235098	0.394283518	0.376247773	0.462166204	0.46491123	0.464933673
Os426	0.303303274	0.422514579	0.317716164	0.291294559	0.354885504	0.438200108	0.443769254	0.369410322
P465P	0.302656848	0.429868667	0.302166607	0.329963663	0.353956099	0.434531956	0.472296924	0.415846081
Pa36	0.284453424	0.386617549	0.27845587	0.2825335	0.30325119	0.363394965	0.391645021	0.338355212
Pa405	0.26759595	0.366866247	0.266893618	0.255983315	0.300044239	0.377404971	0.365904839	0.334442665
Pa91	0.287994786	0.351580153	0.274268739	0.293918458	0.34598231	0.360585905	0.425189318	0.377795016
PB116	0.250691638	0.33235344	0.28132759	0.275573637	0.321199962	0.360124228	0.353438587	0.343519599
PB98TR	0.279989096	0.378475413	0.290405587	0.251687464	0.316020944	0.395643076	0.414851759	0.399292391
PH207	0.128118136	0.325955323	0.262130062	0.257588646	0.20420672	0.35793534	0.369971652	0.293958459
PHB09	0.249519175	0.365358076	0.282519403	0.285222008	0.309530259	0.373388612	0.459471401	0.376077267
PHG35	0.210156791	0.335188266	0.296971285	0.332803097	0.264892832	0.344480906	0.428052445	0.352468662
PHG39	0.304973547	0.415598373	0.281195305	0.324112125	0.385524385	0.416898682	0.418554404	0.373022416
PHG47	0.25825574	0.34669696	0.25574302	0.272301541	0.314040228	0.352248329	0.442340778	0.348243884
PHG50	0.279860324	0.3591995	0.267822832	0.289971955	0.317859495	0.401262062	0.41965235	0.406891172
PHG71	0.267979118	0.391071504	0.306536825	0.317050297	0.339431641	0.401423404	0.412973457	0.357329982
PHG80	0.215401481	0.370406588	0.275807477	0.306722264	0.300157284	0.342832307	0.381361799	0.376867621
PHG84	0.294386409	0.374564916	0.26567324	0.295628285	0.295729721	0.328547793	0.36586828	0.451094019
PHG86	0.282557279	0.329439586	0.259733677	0.290613334	0.32044951	0.394426329	0.404490203	0.309497597
PHH93	0.153145657	0.34747961	0.23639137	0.287592672	0.296342299	0.374547783	0.376663728	0.354196523
PHJ40	0.25955591	0.361072417	0.271487103	0.282339396	0.34253451	0.369514435	0.396054778	0.383876253
PHK29	0.343915255	0.390617218	0.308383124	0.334867596	0.375457124	0.458994286	0.445986436	0.393961544
PHK76	0.256571964	0.329642448	0.273188045	0.27204744	0.277827614	0.299202118	0.384465908	0.321450681
PHR36	0.268085014	0.366488918	0.286199372	0.327432135	0.340392545	0.393734916	0.389778171	0.40661449
PHT77	0.24248254	0.390562031	0.277276943	0.308075638	0.337407535	0.454552466	0.417900328	0.40469126
PHV63	0.284333575	0.359517854	0.275895131	0.264001221	0.342462162	0.405074338	0.37523664	0.407960814
PHW65	0.213721193	0.331900955	0.25716684	0.254651157	0.271158314	0.326510545	0.382811123	0.334168263
PHZ51	0.305064502	0.412080806	0.2731216	0.313344761	0.355968079	0.512051861	0.4479326	0.467778097
SC-Malawi	0.29636562	0.439518048	0.326527223	0.33445296	0.356082269	0.482537231	0.407686409	0.417342127
SGI061	0.203348559	0.352843345	0.223519962	0.228630413	0.30189936	0.371720883	0.37611862	0.339779072
UH_2500	0.310420853	0.376260318	0.286429282	0.288029974	0.310196172	0.352737482	0.418827069	0.402235857
UH_6102	0.199307769	0.39025906	0.239732859	0.336126011	0.281131458	0.405694264	0.347155161	0.407706134
UH_6179	0.14183957	0.381605571	0.274466178	0.318162187	0.299796853	0.361911821	0.395343374	0.316858052
UH_P060	0.184601793	0.429778649	0.318985074	0.354556903	0.378463206	0.461534294	0.458178528	0.394768926
UH_P064	0.229925432	0.402586792	0.267592919	0.301399311	0.323262376	0.454362665	0.426006742	0.404159153
UH_P074	0.158463326	0.297660992	0.26236279	0.245487675	0.243256934	0.289936277	0.363307781	0.298713789
UH_P087	0.202483471	0.351115467	0.247312318	0.245200829	0.23789358	0.366461017	0.372506773	0.33195154
UH_P089	0.309429895	0.386704017	0.290029195	0.278047462	0.311308719	0.377638555	0.460970858	0.354001511
UH_P104	0.23294972	0.432998934	0.303454256	0.352030834	0.35887747	0.422511805	0.469273374	0.412434416
UH_P115	0.243970779	0.456260757	0.296666456	0.299046123	0.336865233	0.426412194	0.453275792	0.468342624
UH_P128	0.261571826	0.345957801	0.279451289	0.336960836	0.317222009	0.439276485	0.44224519	0.405438158
UH_P148	0.163731522	0.384738379	0.253523024	0.262839283	0.266670974	0.35620527	0.405392594	0.400880287
UH_S018	0.257212476	0.357803913	0.271041958	0.294933573	0.322226129	0.352337362	0.400141566	0.387633862
UH_S020	0.24754518	0.388993478	0.286448401	0.292967369	0.319557064	0.416936906	0.415407097	0.391966083
