Variety	Biomass	LAl	WUE	Season	Treatment
N6	202.2525313	0.263756664	67.75530317	S12	WD
NC290	167.325821	0.225702683	59.85700315	S12	WD
NC358	199.635145	0.283601574	64.98192728	S12	WD
NDB8	134.1627901	0.169825814	62.94766788	S12	WD
NK764	193.3022688	0.283920372	52.37288489	S12	WD
NK807	226.7278788	0.312908048	63.06207534	S12	WD
NQ508	207.7332866	0.235570611	63.20916792	S12	WD
NS701	207.5436507	0.262144682	50.11983235	S12	WD
Oh02	212.5924257	0.258085051	63.94078468	S12	WD
Oh33	235.623785	0.352931058	53.20404354	S12	WD
Oh40B	213.1174433	0.300138967	53.79538495	S12	WD
Oh43	277.0832733	0.352903942	56.17766301	S12	WD
Os426	207.9829456	0.303303274	49.99467907	S12	WD
P465P	202.5253942	0.302656848	51.54062042	S12	WD
Pa36	205.4309269	0.284453424	51.55530741	S12	WD
Pa405	197.0611495	0.26759595	63.14203876	S12	WD
Pa91	209.5572268	0.287994786	51.16227377	S12	WD
PB116	177.2227957	0.250691638	53.22886516	S12	WD
PB98TR	207.7229263	0.279989096	64.04520414	S12	WD
PH207	122.1147893	0.128118136	83.14524634	S12	WD
PHB09	198.5524743	0.249519175	55.86048851	S12	WD
PHG35	181.7446323	0.210156791	59.25997135	S12	WD
PHG39	238.6352149	0.304973547	59.95834276	S12	WD
PHG47	193.0105106	0.25825574	54.64237056	S12	WD
PHG50	164.9377836	0.279860324	54.15880539	S12	WD
PHG71	207.4435855	0.267979118	53.39103769	S12	WD
PHG80	174.518723	0.215401481	60.6042687	S12	WD
PHG84	211.9814636	0.294386409	51.96529934	S12	WD
PHG86	194.0302061	0.282557279	55.49469235	S12	WD
PHH93	153.80779	0.153145657	63.77920407	S12	WD
PHJ40	197.9607622	0.25955591	50.84495552	S12	WD
PHK29	231.9573104	0.343915255	41.2914995	S12	WD
PHK76	188.7660007	0.256571964	56.15762314	S12	WD
PHR36	189.5643091	0.268085014	53.54181093	S12	WD
PHT77	187.1175118	0.24248254	54.35778962	S12	WD
PHV63	202.6915842	0.284333575	56.89872746	S12	WD
PHW65	176.188368	0.213721193	62.78019054	S12	WD
PHZ51	211.4180239	0.305064502	54.41229057	S12	WD
SC-Malawi	244.5068652	0.29636562	54.76370497	S12	WD
SGI061	151.0639896	0.203348559	57.00390499	S12	WD
UH_2500	218.0673579	0.310420853	58.2793407	S12	WD
UH_6102	180.1763054	0.199307769	58.79727077	S12	WD
UH_6179	137.5497206	0.14183957	62.27573267	S12	WD
UH_P060	188.6126472	0.184601793	55.95860936	S12	WD
UH_P064	185.8057604	0.229925432	53.22506999	S12	WD
UH_P074	178.7864883	0.158463326	64.84010258	S12	WD
UH_P087	174.8741271	0.202483471	58.90882647	S12	WD
UH_P089	210.7696194	0.309429895	54.09192148	S12	WD
UH_P104	181.0515329	0.23294972	54.26903276	S12	WD
UH_P115	187.1605028	0.243970779	55.17742278	S12	WD
UH_P128	180.011339	0.261571826	59.64413728	S12	WD
UH_P148	144.7053321	0.163731522	60.51641128	S12	WD
UH_S018	169.8461662	0.257212476	50.64533978	S12	WD
UH_S020	187.4630133	0.24754518	45.61955292	S12	WD
UH_S025	177.7504493	0.263064125	53.2165086	S12	WD
UH250	224.5273793	0.327439374	74.32153347	S12	WD
UH304	132.1042409	0.167014758	47.36806926	S12	WD
Va26	207.6623053	0.30930114	50.53413191	S12	WD
W117	225.1931047	0.281559903	63.11226165	S12	WD
