Variety	WUE	ENV	Treatment	Season	ENV_WUE
EP51	59.05545716	WD_S13	WD	S13	49.96
EP52	51.79456816	WD_S13	WD	S13	49.96
EP55	51.30472818	WD_S13	WD	S13	49.96
EP67	58.28881565	WD_S13	WD	S13	49.96
EP72	60.06342957	WD_S13	WD	S13	49.96
EP77	51.54697956	WD_S13	WD	S13	49.96
EZ11A	59.30185396	WD_S13	WD	S13	49.96
EZ18	71.22001148	WD_S13	WD	S13	49.96
EZ31	44.90520273	WD_S13	WD	S13	49.96
EZ34	52.00444348	WD_S13	WD	S13	49.96
EZ35	53.55479431	WD_S13	WD	S13	49.96
EZ36	45.81079436	WD_S13	WD	S13	49.96
EZ37	51.5707229	WD_S13	WD	S13	49.96
EZ38	52.84927403	WD_S13	WD	S13	49.96
EZ40	50.07627041	WD_S13	WD	S13	49.96
EZ42	47.62416676	WD_S13	WD	S13	49.96
EZ47	62.563595	WD_S13	WD	S13	49.96
EZ48	51.36259206	WD_S13	WD	S13	49.96
F04401	38.93416853	WD_S13	WD	S13	49.96
F04402	49.01492434	WD_S13	WD	S13	49.96
F04701	51.50908847	WD_S13	WD	S13	49.96
F04702	47.99808761	WD_S13	WD	S13	49.96
F05101	53.97594705	WD_S13	WD	S13	49.96
F05404	49.31909979	WD_S13	WD	S13	49.96
F1808	46.01209953	WD_S13	WD	S13	49.96
F1890	48.85129096	WD_S13	WD	S13	49.96
F218	48.48399202	WD_S13	WD	S13	49.96
F252	48.05488275	WD_S13	WD	S13	49.96
F353	42.28115561	WD_S13	WD	S13	49.96
F354	59.27567528	WD_S13	WD	S13	49.96
F546	41.05063572	WD_S13	WD	S13	49.96
F608	44.79544229	WD_S13	WD	S13	49.96
F618	45.55479403	WD_S13	WD	S13	49.96
F7001	51.2684723	WD_S13	WD	S13	49.96
F7019	39.68227581	WD_S13	WD	S13	49.96
F7025	52.3529636	WD_S13	WD	S13	49.96
F7028	46.23654667	WD_S13	WD	S13	49.96
F7057	46.41110575	WD_S13	WD	S13	49.96
F7058	45.37771031	WD_S13	WD	S13	49.96
F7081	49.15170475	WD_S13	WD	S13	49.96
F7082	50.70388146	WD_S13	WD	S13	49.96
F712	57.62211544	WD_S13	WD	S13	49.96
F748	43.60849554	WD_S13	WD	S13	49.96
F752	47.6318471	WD_S13	WD	S13	49.96
F838	46.44200027	WD_S13	WD	S13	49.96
F874	47.67681086	WD_S13	WD	S13	49.96
F888	45.08477471	WD_S13	WD	S13	49.96
F894	52.08600258	WD_S13	WD	S13	49.96
F908	39.68125929	WD_S13	WD	S13	49.96
F912	45.03530228	WD_S13	WD	S13	49.96
F918	58.39935837	WD_S13	WD	S13	49.96
F922	49.18240031	WD_S13	WD	S13	49.96
F98902	60.17307814	WD_S13	WD	S13	49.96
FP1	47.38792691	WD_S13	WD	S13	49.96
FR19	51.74811341	WD_S13	WD	S13	49.96
FR697	51.45364683	WD_S13	WD	S13	49.96
H99	50.56883568	WD_S13	WD	S13	49.96
HMV5301	45.70124651	WD_S13	WD	S13	49.96
HMV5325	51.39202562	WD_S13	WD	S13	49.96
HMV5343	55.06664098	WD_S13	WD	S13	49.96
HMV5347	52.97551062	WD_S13	WD	S13	49.96
HMV5405	45.69185645	WD_S13	WD	S13	49.96
HMV5409	51.37559226	WD_S13	WD	S13	49.96
HMV5422	48.00381187	WD_S13	WD	S13	49.96
HMV5502	45.96169785	WD_S13	WD	S13	49.96
I198	50.87047679	WD_S13	WD	S13	49.96
I205	51.2950102	WD_S13	WD	S13	49.96
I211	48.98739061	WD_S13	WD	S13	49.96
I238	46.17310458	WD_S13	WD	S13	49.96
I242	48.57637589	WD_S13	WD	S13	49.96
I261	57.6095268	WD_S13	WD	S13	49.96
I267	50.30425344	WD_S13	WD	S13	49.96
IDT	54.23615874	WD_S13	WD	S13	49.96
LAN496	48.35906726	WD_S13	WD	S13	49.96
