method,k,avg_overlap,min_overlap,frac_ge_thr,full_agree_all
RN,3,0.15384615384615383,0,0,FALSE
RN,5,0.11538461538461538,0,0,FALSE
RN,10,0.23846153846153845,0,0,FALSE
RN,15,0.28205128205128205,0,0,FALSE
RN,20,0.3096153846153846,0,0.038461538461538464,FALSE
RNN,3,0.15384615384615385,0,0.07692307692307693,FALSE
RNN,5,0.36923076923076925,0,0,FALSE
RNN,10,0.4076923076923077,0,0.038461538461538464,FALSE
RNN,15,0.5025641025641026,0,0,FALSE
RNN,20,0.5961538461538461,0,0,FALSE
RPI,3,0.3846153846153846,0,0.11538461538461539,FALSE
RPI,5,0.4,0,0.038461538461538464,FALSE
RPI,10,0.4846153846153846,0,0.038461538461538464,FALSE
RPI,15,0.5256410256410257,0,0.038461538461538464,FALSE
RPI,20,0.6153846153846154,0,0.038461538461538464,FALSE
RSI,3,0,0,0,FALSE
RSI,5,0,0,0,FALSE
RSI,10,0.0038461538461538464,0,0,FALSE
RSI,15,0.010256410256410256,0,0,FALSE
RSI,20,0.02884615384615384,0,0,FALSE
RTR,3,0.16666666666666666,0,0.038461538461538464,FALSE
RTR,5,0.16923076923076924,0,0.038461538461538464,FALSE
RTR,10,0.24615384615384614,0,0,FALSE
RTR,15,0.2794871794871795,0,0,FALSE
RTR,20,0.3096153846153846,0,0.038461538461538464,FALSE
SI,3,0.37179487179487175,0,0,FALSE
SI,5,0.38461538461538464,0,0,FALSE
SI,10,0.43846153846153846,0,0,FALSE
SI,15,0.5307692307692308,0,0,FALSE
SI,20,0.6384615384615384,0,0,FALSE
gPi,3,0.30769230769230765,0,0.07692307692307693,FALSE
gPi,5,0.36923076923076925,0,0.15384615384615385,FALSE
gPi,10,0.5230769230769231,0,0.07692307692307693,FALSE
gPi,15,0.5641025641025641,0,0.07692307692307693,FALSE
gPi,20,0.6346153846153846,0,0.15384615384615385,FALSE
