tag,score_i,score_j,flips_abs,n_pairs,flips_frac
full_res10,gPi,RSI,3160,3160,1
full_res10,gPi,EVS,664,3160,0.21012658227848102
full_res10,PPF,PPi,175,3160,0.055379746835443035
full_res10,PPF,PImd,175,3160,0.055379746835443035
full_res10,PPF,PILSM,175,3160,0.055379746835443035
full_res10,PPF,RTR,1431,3160,0.4528481012658228
full_res10,PPF,PIR,138,3160,0.043670886075949364
full_res10,PPF,RDPI,168,3160,0.053164556962025315
full_res10,PPF,ESPI,674,3160,0.21329113924050633
full_res10,PPF,ESPIID,689,3160,0.2180379746835443
full_res10,PPF,PSI,1833,3160,0.5800632911392405
full_res10,PPF,RPI,168,3160,0.053164556962025315
full_res10,PPF,PQ,674,3160,0.21329113924050633
full_res10,PPF,PR,674,3160,0.21329113924050633
full_res10,PPF,NRW,674,3160,0.21329113924050633
full_res10,PPF,ESP,201,3160,0.06360759493670887
full_res10,PPF,CEV,182,3160,0.05759493670886076
full_res10,PPF,PFI,321,3160,0.10158227848101266
full_res10,PPF,APC,824,3160,0.2607594936708861
full_res10,PPF,SI,337,3160,0.10664556962025316
full_res10,PPF,RSI,2978,3160,0.9424050632911393
full_res10,PPF,EVS,662,3160,0.20949367088607596
full_res10,PPi,PImd,0,3160,0
full_res10,PPi,PILSM,0,3160,0
full_res10,PPi,RTR,1592,3160,0.5037974683544304
full_res10,PPi,PIR,177,3160,0.0560126582278481
full_res10,PPi,RDPI,95,3160,0.030063291139240507
full_res10,PPi,ESPI,655,3160,0.20727848101265822
full_res10,PPi,ESPIID,648,3160,0.20506329113924052
full_res10,PPi,PSI,1776,3160,0.5620253164556962
full_res10,PPi,RPI,95,3160,0.030063291139240507
full_res10,PPi,PQ,655,3160,0.20727848101265822
full_res10,PPi,PR,655,3160,0.20727848101265822
full_res10,PPi,NRW,655,3160,0.20727848101265822
full_res10,PPi,ESP,166,3160,0.052531645569620256
full_res10,PPi,CEV,117,3160,0.037025316455696206
full_res10,PPi,PFI,218,3160,0.0689873417721519
full_res10,PPi,APC,767,3160,0.24272151898734176
full_res10,PPi,SI,334,3160,0.10569620253164556
full_res10,PPi,RSI,3043,3160,0.9629746835443038
full_res10,PPi,EVS,671,3160,0.21234177215189873
full_res10,PImd,PILSM,0,3160,0
full_res10,PImd,RTR,1592,3160,0.5037974683544304
full_res10,PImd,PIR,177,3160,0.0560126582278481
full_res10,PImd,RDPI,95,3160,0.030063291139240507
full_res10,PImd,ESPI,655,3160,0.20727848101265822
full_res10,PImd,ESPIID,648,3160,0.20506329113924052
full_res10,PImd,PSI,1776,3160,0.5620253164556962
full_res10,PImd,RPI,95,3160,0.030063291139240507
full_res10,PImd,PQ,655,3160,0.20727848101265822
full_res10,PImd,PR,655,3160,0.20727848101265822
full_res10,PImd,NRW,655,3160,0.20727848101265822
full_res10,PImd,ESP,166,3160,0.052531645569620256
full_res10,PImd,CEV,117,3160,0.037025316455696206
full_res10,PImd,PFI,218,3160,0.0689873417721519
full_res10,PImd,APC,767,3160,0.24272151898734176
full_res10,PImd,SI,334,3160,0.10569620253164556
full_res10,PImd,RSI,3043,3160,0.9629746835443038
full_res10,PImd,EVS,671,3160,0.21234177215189873
full_res10,PILSM,RTR,1592,3160,0.5037974683544304
full_res10,PILSM,PIR,177,3160,0.0560126582278481
full_res10,PILSM,RDPI,95,3160,0.030063291139240507
full_res10,PILSM,ESPI,655,3160,0.20727848101265822
full_res10,PILSM,ESPIID,648,3160,0.20506329113924052
full_res10,PILSM,PSI,1776,3160,0.5620253164556962
full_res10,PILSM,RPI,95,3160,0.030063291139240507
full_res10,PILSM,PQ,655,3160,0.20727848101265822
full_res10,PILSM,PR,655,3160,0.20727848101265822
full_res10,PILSM,NRW,655,3160,0.20727848101265822
full_res10,PILSM,ESP,166,3160,0.052531645569620256
full_res10,PILSM,CEV,117,3160,0.037025316455696206
full_res10,PILSM,PFI,218,3160,0.0689873417721519
full_res10,PILSM,APC,767,3160,0.24272151898734176
full_res10,PILSM,SI,334,3160,0.10569620253164556
full_res10,PILSM,RSI,3043,3160,0.9629746835443038
full_res10,PILSM,EVS,671,3160,0.21234177215189873
full_res10,RTR,PIR,1447,3160,0.4579113924050633
full_res10,RTR,RDPI,1597,3160,0.5053797468354431
full_res10,RTR,ESPI,1497,3160,0.4737341772151899
full_res10,RTR,ESPIID,1528,3160,0.4835443037974684
full_res10,RTR,PSI,1650,3160,0.5221518987341772
full_res10,RTR,RPI,1597,3160,0.5053797468354431
full_res10,RTR,PQ,1497,3160,0.4737341772151899
full_res10,RTR,PR,1497,3160,0.4737341772151899
full_res10,RTR,NRW,1497,3160,0.4737341772151899
full_res10,RTR,ESP,1620,3160,0.5126582278481012
full_res10,RTR,CEV,1611,3160,0.5098101265822785
full_res10,RTR,PFI,1618,3160,0.5120253164556962
full_res10,RTR,APC,1547,3160,0.48955696202531646
full_res10,RTR,SI,1572,3160,0.49746835443037973
full_res10,RTR,RSI,1549,3160,0.4901898734177215
full_res10,RTR,EVS,1505,3160,0.4762658227848101
full_res10,PIR,RDPI,188,3160,0.05949367088607595
full_res10,PIR,ESPI,672,3160,0.21265822784810126
full_res10,PIR,ESPIID,709,3160,0.22436708860759494
full_res10,PIR,PSI,1861,3160,0.5889240506329114
full_res10,PIR,RPI,188,3160,0.05949367088607595
full_res10,PIR,PQ,672,3160,0.21265822784810126
full_res10,PIR,PR,672,3160,0.21265822784810126
full_res10,PIR,NRW,672,3160,0.21265822784810126
full_res10,PIR,ESP,257,3160,0.08132911392405064
full_res10,PIR,CEV,226,3160,0.07151898734177216
full_res10,PIR,PFI,377,3160,0.11930379746835443
full_res10,PIR,APC,868,3160,0.2746835443037975
full_res10,PIR,SI,369,3160,0.11677215189873418
full_res10,PIR,RSI,2934,3160,0.9284810126582278
full_res10,PIR,EVS,676,3160,0.2139240506329114
full_res10,RDPI,ESPI,672,3160,0.21265822784810126
full_res10,RDPI,ESPIID,679,3160,0.214873417721519
full_res10,RDPI,PSI,1851,3160,0.5857594936708861
full_res10,RDPI,RPI,0,3160,0
full_res10,RDPI,PQ,672,3160,0.21265822784810126
full_res10,RDPI,PR,672,3160,0.21265822784810126
full_res10,RDPI,NRW,672,3160,0.21265822784810126
full_res10,RDPI,ESP,87,3160,0.027531645569620254
full_res10,RDPI,CEV,82,3160,0.025949367088607594
full_res10,RDPI,PFI,295,3160,0.09335443037974683
full_res10,RDPI,APC,834,3160,0.2639240506329114
full_res10,RDPI,SI,313,3160,0.0990506329113924
full_res10,RDPI,RSI,3078,3160,0.9740506329113924
full_res10,RDPI,EVS,660,3160,0.2088607594936709
full_res10,ESPI,ESPIID,211,3160,0.06677215189873417
full_res10,ESPI,PSI,2141,3160,0.6775316455696202
full_res10,ESPI,RPI,672,3160,0.21265822784810126
full_res10,ESPI,PQ,0,3160,0
full_res10,ESPI,PR,0,3160,0
full_res10,ESPI,NRW,0,3160,0
full_res10,ESPI,ESP,691,3160,0.21867088607594937
full_res10,ESPI,CEV,672,3160,0.21265822784810126
full_res10,ESPI,PFI,709,3160,0.22436708860759494
full_res10,ESPI,APC,530,3160,0.16772151898734178
full_res10,ESPI,SI,377,3160,0.11930379746835443
full_res10,ESPI,RSI,2488,3160,0.7873417721518987
full_res10,ESPI,EVS,98,3160,0.0310126582278481
full_res10,ESPIID,PSI,1930,3160,0.6107594936708861
full_res10,ESPIID,RPI,679,3160,0.214873417721519
full_res10,ESPIID,PQ,211,3160,0.06677215189873417
full_res10,ESPIID,PR,211,3160,0.06677215189873417
full_res10,ESPIID,NRW,211,3160,0.06677215189873417
full_res10,ESPIID,ESP,704,3160,0.22278481012658227
full_res10,ESPIID,CEV,663,3160,0.2098101265822785
full_res10,ESPIID,PFI,624,3160,0.19746835443037974
full_res10,ESPIID,APC,319,3160,0.10094936708860759
full_res10,ESPIID,SI,406,3160,0.12848101265822784
full_res10,ESPIID,RSI,2497,3160,0.7901898734177215
full_res10,ESPIID,EVS,251,3160,0.07943037974683544
full_res10,PSI,RPI,1851,3160,0.5857594936708861
full_res10,PSI,PQ,2141,3160,0.6775316455696202
full_res10,PSI,PR,2141,3160,0.6775316455696202
full_res10,PSI,NRW,2141,3160,0.6775316455696202
full_res10,PSI,ESP,1872,3160,0.5924050632911393
full_res10,PSI,CEV,1801,3160,0.5699367088607595
full_res10,PSI,PFI,1578,3160,0.49936708860759493
full_res10,PSI,APC,1611,3160,0.5098101265822785
full_res10,PSI,SI,1966,3160,0.6221518987341772
full_res10,PSI,RSI,1359,3160,0.4300632911392405
full_res10,PSI,EVS,2181,3160,0.6901898734177215
full_res10,RPI,PQ,672,3160,0.21265822784810126
full_res10,RPI,PR,672,3160,0.21265822784810126
full_res10,RPI,NRW,672,3160,0.21265822784810126
full_res10,RPI,ESP,87,3160,0.027531645569620254
full_res10,RPI,CEV,82,3160,0.025949367088607594
full_res10,RPI,PFI,295,3160,0.09335443037974683
full_res10,RPI,APC,834,3160,0.2639240506329114
full_res10,RPI,SI,313,3160,0.0990506329113924
full_res10,RPI,RSI,3078,3160,0.9740506329113924
full_res10,RPI,EVS,660,3160,0.2088607594936709
full_res10,PQ,PR,0,3160,0
full_res10,PQ,NRW,0,3160,0
full_res10,PQ,ESP,691,3160,0.21867088607594937
full_res10,PQ,CEV,672,3160,0.21265822784810126
full_res10,PQ,PFI,709,3160,0.22436708860759494
full_res10,PQ,APC,530,3160,0.16772151898734178
full_res10,PQ,SI,377,3160,0.11930379746835443
full_res10,PQ,RSI,2488,3160,0.7873417721518987
full_res10,PQ,EVS,98,3160,0.0310126582278481
full_res10,PR,NRW,0,3160,0
full_res10,PR,ESP,691,3160,0.21867088607594937
full_res10,PR,CEV,672,3160,0.21265822784810126
full_res10,PR,PFI,709,3160,0.22436708860759494
full_res10,PR,APC,530,3160,0.16772151898734178
full_res10,PR,SI,377,3160,0.11930379746835443
full_res10,PR,RSI,2488,3160,0.7873417721518987
full_res10,PR,EVS,98,3160,0.0310126582278481
full_res10,NRW,ESP,691,3160,0.21867088607594937
full_res10,NRW,CEV,672,3160,0.21265822784810126
full_res10,NRW,PFI,709,3160,0.22436708860759494
full_res10,NRW,APC,530,3160,0.16772151898734178
full_res10,NRW,SI,377,3160,0.11930379746835443
full_res10,NRW,RSI,2488,3160,0.7873417721518987
full_res10,NRW,EVS,98,3160,0.0310126582278481
full_res10,ESP,CEV,75,3160,0.023734177215189875
full_res10,ESP,PFI,304,3160,0.09620253164556962
full_res10,ESP,APC,851,3160,0.2693037974683544
