score,APC,CEV,CV_t,D_slope,ESP,ESPI,ESPIID,EVS,gPi,NRW,PFI,PILSM,PImd,PIR,PPF,PPi,PQ,PR,PSI,RC,RDPI,RN,RNN,RPI,RSI,RTR,SI
PFI,0.5955696202531645,0.8550632911392405,0.8550632911392405,0.5354430379746835,0.8075949367088607,0.5512658227848102,0.6050632911392405,0.529746835443038,0.8550632911392405,0.5512658227848102,1,0.8620253164556962,0.8620253164556962,0.7613924050632911,0.7968354430379747,0.8620253164556962,0.5512658227848102,0.5512658227848102,0.00126582278481012,0.8012658227848102,0.8132911392405063,-0.0189873417721519,0.5632911392405063,0.8132911392405063,-0.8550632911392405,-0.0240506329113924,0.7316455696202532
PILSM,0.5145569620253164,0.9259493670886076,0.9259493670886076,0.5936708860759494,0.8949367088607595,0.5854430379746836,0.589873417721519,0.5753164556962025,0.9259493670886076,0.5854430379746836,0.8620253164556962,1,1,0.8879746835443038,0.8892405063291139,1,0.5854430379746836,0.5854430379746836,-0.1240506329113924,0.889873417721519,0.939873417721519,-0.02025316455696202,0.5253164556962026,0.939873417721519,-0.9259493670886076,-0.00759493670886075,0.7886075949367088
PImd,0.5145569620253164,0.9259493670886076,0.9259493670886076,0.5936708860759494,0.8949367088607595,0.5854430379746836,0.589873417721519,0.5753164556962025,0.9259493670886076,0.5854430379746836,0.8620253164556962,1,1,0.8879746835443038,0.8892405063291139,1,0.5854430379746836,0.5854430379746836,-0.1240506329113924,0.889873417721519,0.939873417721519,-0.02025316455696202,0.5253164556962026,0.939873417721519,-0.9259493670886076,-0.00759493670886075,0.7886075949367088
PIR,0.4506329113924051,0.8569620253164557,0.8569620253164557,0.5968354430379746,0.8373417721518988,0.5746835443037974,0.5512658227848102,0.5721518987341773,0.8569620253164557,0.5746835443037974,0.7613924050632911,0.8879746835443038,0.8879746835443038,1,0.9126582278481012,0.8879746835443038,0.5746835443037974,0.5746835443037974,-0.1778481012658228,0.8386075949367089,0.8810126582278481,0.06772151898734177,0.4575949367088608,0.8810126582278481,-0.8569620253164557,0.08417721518987342,0.7664556962025316
PPF,0.47848101265822784,0.8848101265822785,0.8848101265822785,0.5917721518987342,0.8727848101265823,0.5734177215189873,0.5639240506329114,0.5810126582278481,0.8848101265822785,0.5734177215189873,0.7968354430379747,0.8892405063291139,0.8892405063291139,0.9126582278481012,1,0.8892405063291139,0.5734177215189873,0.5734177215189873,-0.160126582278481,0.8740506329113924,0.8936708860759494,0.086708860759493675,0.509493670886076,0.8936708860759494,-0.8848101265822785,0.09430379746835443,0.7867088607594936
PPi,0.5145569620253164,0.9259493670886076,0.9259493670886076,0.5936708860759494,0.8949367088607595,0.5854430379746836,0.589873417721519,0.5753164556962025,0.9259493670886076,0.5854430379746836,0.8620253164556962,1,1,0.8879746835443038,0.8892405063291139,1,0.5854430379746836,0.5854430379746836,-0.1240506329113924,0.889873417721519,0.939873417721519,-0.02025316455696202,0.5253164556962026,0.939873417721519,-0.9259493670886076,-0.00759493670886075,0.7886075949367088
PQ,0.6645569620253164,0.5746835443037974,0.5746835443037974,0.9056962025316456,0.5626582278481013,1,0.8664556962025316,0.9379746835443038,0.5746835443037974,1,0.5512658227848102,0.5854430379746836,0.5854430379746836,0.5746835443037974,0.5734177215189873,0.5854430379746836,1,1,-0.3550632911392405,0.5588607594936709,0.5746835443037974,0.05126582278481013,0.7132911392405064,0.5746835443037974,-0.5746835443037974,0.05253164556962025,0.7613924050632911
PR,0.6645569620253164,0.5746835443037974,0.5746835443037974,0.9056962025316456,0.5626582278481013,1,0.8664556962025316,0.9379746835443038,0.5746835443037974,1,0.5512658227848102,0.5854430379746836,0.5854430379746836,0.5746835443037974,0.5734177215189873,0.5854430379746836,1,1,-0.3550632911392405,0.5588607594936709,0.5746835443037974,0.05126582278481013,0.7132911392405064,0.5746835443037974,-0.5746835443037974,0.05253164556962025,0.7613924050632911
PSI,-0.01962025316455696,-0.13987341772151898,-0.13987341772151898,-0.379746835443038,-0.1848101265822785,-0.3550632911392405,-0.22151898734177217,-0.380379746835443,-0.13987341772151898,-0.3550632911392405,0.00126582278481012,-0.1240506329113924,-0.1240506329113924,-0.1778481012658228,-0.160126582278481,-0.1240506329113924,-0.3550632911392405,-0.3550632911392405,1,-0.1911392405063291,-0.17151898734177215,-0.02658227848101265,-0.07721518987341772,-0.17151898734177215,0.13987341772151898,-0.04430379746835443,-0.24430379746835443
RC,0.4550632911392405,0.9462025316455696,0.9462025316455696,0.5734177215189873,0.9936708860759492,0.5588607594936709,0.549367088607595,0.5791139240506329,0.9462025316455696,0.5588607594936709,0.8012658227848102,0.889873417721519,0.889873417721519,0.8386075949367089,0.8740506329113924,0.889873417721519,0.5588607594936709,0.5588607594936709,-0.1911392405063291,1,0.9449367088607596,-0.0189873417721519,0.5088607594936709,0.9449367088607596,-0.9462025316455696,-0.02151898734177215,0.7936708860759494
RDPI,0.4721518987341772,0.9481012658227848,0.9481012658227848,0.5968354430379746,0.9449367088607596,0.5746835443037974,0.5702531645569621,0.5822784810126582,0.9481012658227848,0.5746835443037974,0.8132911392405063,0.939873417721519,0.939873417721519,0.8810126582278481,0.8936708860759494,0.939873417721519,0.5746835443037974,0.5746835443037974,-0.17151898734177215,0.9449367088607596,1,-0.01962025316455696,0.510759493670886,1,-0.9481012658227848,-0.01075949367088607,0.8018987341772152
RN,0.0120253164556962,-0.01582278481012658,-0.01582278481012658,0.05189873417721519,-0.02278481012658228,0.05126582278481013,0.02658227848101265,0.04493670886075949,-0.01582278481012658,0.05126582278481013,-0.0189873417721519,-0.02025316455696202,-0.02025316455696202,0.06772151898734177,0.086708860759493675,-0.02025316455696202,0.05126582278481013,0.05126582278481013,-0.02658227848101265,-0.0189873417721519,-0.01962025316455696,1,-0.03164556962025317,-0.01962025316455696,0.01582278481012658,0.789873417721519,0.00886075949367088
RNN,0.7575949367088608,0.5373417721518987,0.5373417721518987,0.6544303797468355,0.5139240506329114,0.7132911392405064,0.7911392405063291,0.6968354430379747,0.5373417721518987,0.7132911392405064,0.5632911392405063,0.5253164556962026,0.5253164556962026,0.4575949367088608,0.509493670886076,0.5253164556962026,0.7132911392405064,0.7132911392405064,-0.07721518987341772,0.5088607594936709,0.510759493670886,-0.03164556962025317,1,0.510759493670886,-0.5373417721518987,-0.01645569620253164,0.6341772151898735
RPI,0.4721518987341772,0.9481012658227848,0.9481012658227848,0.5968354430379746,0.9449367088607596,0.5746835443037974,0.5702531645569621,0.5822784810126582,0.9481012658227848,0.5746835443037974,0.8132911392405063,0.939873417721519,0.939873417721519,0.8810126582278481,0.8936708860759494,0.939873417721519,0.5746835443037974,0.5746835443037974,-0.17151898734177215,0.9449367088607596,1,-0.01962025316455696,0.510759493670886,1,-0.9481012658227848,-0.01075949367088607,0.8018987341772152
RSI,-0.5012658227848101,-1,-1,-0.5765822784810126,-0.9525316455696202,-0.5746835443037974,-0.580379746835443,-0.579746835443038,-1,-0.5746835443037974,-0.8550632911392405,-0.9259493670886076,-0.9259493670886076,-0.8569620253164557,-0.8848101265822785,-0.9259493670886076,-0.5746835443037974,-0.5746835443037974,0.13987341772151898,-0.9462025316455696,-0.9481012658227848,0.01582278481012658,-0.5373417721518987,-0.9481012658227848,1,0.01962025316455696,-0.8056962025316455
RTR,0.02088607594936709,-0.01962025316455696,-0.01962025316455696,0.07341772151898734,-0.02531645569620253,0.05253164556962025,0.03291139240506329,0.04746835443037975,-0.01962025316455696,0.05253164556962025,-0.0240506329113924,-0.00759493670886075,-0.00759493670886075,0.08417721518987342,0.09430379746835443,-0.00759493670886075,0.05253164556962025,0.05253164556962025,-0.04430379746835443,-0.02151898734177215,-0.01075949367088607,0.789873417721519,-0.01645569620253164,-0.01075949367088607,0.01962025316455696,1,0.0050632911392405
SI,0.5816455696202532,0.8056962025316455,0.8056962025316455,0.7569620253164557,0.7974683544303798,0.7613924050632911,0.7430379746835443,0.7740506329113924,0.8056962025316455,0.7613924050632911,0.7316455696202532,0.7886075949367088,0.7886075949367088,0.7664556962025316,0.7867088607594936,0.7886075949367088,0.7613924050632911,0.7613924050632911,-0.24430379746835443,0.7936708860759494,0.8018987341772152,0.00886075949367088,0.6341772151898735,0.8018987341772152,-0.8056962025316455,0.0050632911392405,1
