resolution,score_i,score_j,correlation,p_value,n_common
10,CV_t,RDPI,0.9481012658227848,1.4453216235160704e-35,80
10,CV_t,RN,-0.015822784810126583,0.8354373550913812,80
10,CV_t,RNN,0.5373417721518987,1.7307704113744703e-12,80
10,CV_t,RPI,0.9481012658227848,1.4453216235160704e-35,80
10,CV_t,RSI,-1,2.253954062438668e-39,80
10,CV_t,RTR,-0.019620253164556962,0.7967240661481113,80
10,CV_t,SI,0.8056962025316455,3.778419825866775e-26,80
10,CV_t,gPi,1,2.253954062438668e-39,80
10,D_slope,ESP,0.5734177215189873,5.14255324069094e-14,80
10,D_slope,ESPI,0.9056962025316456,1.3238213209682543e-32,80
10,D_slope,ESPIID,0.8025316455696202,5.881320410684077e-26,80
10,D_slope,EVS,0.9006329113924051,2.9278488253830404e-32,80
10,D_slope,NRW,0.9056962025316456,1.3238213209682543e-32,80
10,D_slope,PFI,0.5354430379746835,2.069946765218905e-12,80
10,D_slope,PILSM,0.5936708860759494,6.4845180072687705e-15,80
10,D_slope,PIR,0.5968354430379746,4.662626696995652e-15,80
10,D_slope,PImd,0.5936708860759494,6.4845180072687705e-15,80
10,D_slope,PPF,0.5917721518987342,7.897170303012803e-15,80
10,D_slope,PPi,0.5936708860759494,6.4845180072687705e-15,80
10,D_slope,PQ,0.9056962025316456,1.3238213209682543e-32,80
10,D_slope,PR,0.9056962025316456,1.3238213209682543e-32,80
10,D_slope,PSI,-0.379746835443038,6.177145013677813e-7,80
10,D_slope,RC,0.5734177215189873,5.14255324069094e-14,80
10,D_slope,RDPI,0.5968354430379746,4.662626696995652e-15,80
10,D_slope,RN,0.05189873417721519,0.4956407936338855,80
10,D_slope,RNN,0.6544303797468355,8.558611910766481e-18,80
10,D_slope,RPI,0.5968354430379746,4.662626696995652e-15,80
10,D_slope,RSI,-0.5765822784810126,3.738138794213305e-14,80
10,D_slope,RTR,0.07341772151898734,0.3351052493834662,80
10,D_slope,SI,0.7569620253164557,2.846169114414655e-23,80
10,D_slope,gPi,0.5765822784810126,3.738138794213305e-14,80
10,ESP,ESPI,0.5626582278481013,1.501901417070166e-13,80
